ticker,name,sector,market
6383,倉敷機械,機械,スタンダード
6409,キトー,機械,スタンダード
6412,平和,機械,プライム
6417,SANKYO,機械,プライム
6419,マースグループホールディングス,機械,プライム
6448,ブラザー工業,電気機器,プライム
6473,ジェイテクト,機械,プライム
6479,ミネベアミツミ,電気機器,プライム
6501,日立製作所,電気機器,プライム
6502,東芝,電気機器,プライム
6503,三菱電機,電気機器,プライム
6504,富士電機,電気機器,プライム
6506,安川電機,電気機器,プライム
6532,ベイカレント・コンサルティング,サービス業,プライム
6578,コンサルティングジャパン,サービス業,グロース
6594,日本電産,電気機器,プライム
6645,オムロン,電気機器,プライム
6674,GSユアサ,電気機器,プライム
6701,NEC,電気機器,プライム
6702,富士通,電気機器,プライム
6703,OKI,電気機器,プライム
6724,セイコーエプソン,電気機器,プライム
6726,オプティマインド,電気機器,グロース
6752,パナソニックホールディングス,電気機器,プライム
6753,シャープ,電気機器,プライム
6762,TDK,電気機器,プライム
6770,アルプスアルパイン,電気機器,プライム
6773,パイオニア,電気機器,スタンダード
6789,ローランド ディー.ジー.,電気機器,スタンダード
6800,ヨコオ,電気機器,スタンダード
6806,ヒロセ電機,電気機器,プライム
6807,航空電子工業,電気機器,プライム
6841,横河電機,電気機器,プライム
6845,アズビル,電気機器,プライム
6857,アドバンテスト,電気機器,プライム
6861,キーエンス,電気機器,プライム
6869,シスメックス,電気機器,プライム
6920,レーザーテック,電気機器,プライム
6952,カシオ計算機,電気機器,プライム
6954,ファナック,電気機器,プライム
6963,ローム,電気機器,プライム
6971,京セラ,電気機器,プライム
6981,村田製作所,電気機器,プライム
6988,日東電工,電気機器,プライム
7003,三井E&Sホールディングス,輸送用機器,スタンダード
7004,日立造船,輸送用機器,プライム
7011,三菱重工業,輸送用機器,プライム
7012,川崎重工業,輸送用機器,プライム
7013,IHI,輸送用機器,プライム
7201,日産自動車,輸送用機器,プライム
7202,いすゞ自動車,輸送用機器,プライム
7203,トヨタ自動車,輸送用機器,プライム
7205,日野自動車,輸送用機器,プライム
7211,三菱自動車工業,輸送用機器,プライム
7261,マツダ,輸送用機器,プライム
7267,本田技研工業,輸送用機器,プライム
7269,スズキ,輸送用機器,プライム
7270,SUBARU,輸送用機器,プライム
7272,ヤマハ発動機,輸送用機器,プライム
7701,島津製作所,精密機器,プライム
7731,ニコン,精密機器,プライム
7733,オリンパス,精密機器,プライム
7741,HOYA,精密機器,プライム
7751,キヤノン,精密機器,プライム
7752,リコー,精密機器,プライム
7762,シチズン時計,精密機器,プライム
7832,バンダイナムコホールディングス,その他製品,プライム
7911,凸版印刷,その他製品,プライム
7912,大日本印刷,その他製品,プライム
7951,ヤマハ,その他製品,プライム
7974,任天堂,その他製品,プライム
8001,伊藤忠商事,卸売業,プライム
8002,丸紅,卸売業,プライム
8003,トーメンデバイス,卸売業,スタンダード
8011,三陽商会,卸売業,プライム
8015,豊田通商,卸売業,プライム
8031,三井物産,卸売業,プライム
8035,東京エレクトロン,電気機器,プライム
8053,住友商事,卸売業,プライム
8058,三菱商事,卸売業,プライム
8060,石岡市場,卸売業,スタンダード
8088,岩谷産業,卸売業,プライム
8113,ユニ・チャーム,化学,プライム
8173,上新電機,小売業,プライム
8233,高島屋,小売業,プライム
8252,丸井グループ,小売業,プライム
8267,イオン,小売業,プライム
8270,ユニー,小売業,プライム
8304,あおぞら銀行,銀行業,プライム
8306,三菱UFJフィナンシャル・グループ,銀行業,プライム
8308,りそなホールディングス,銀行業,プライム
8309,三井住友トラスト・ホールディングス,銀行業,プライム
8316,三井住友フィナンシャルグループ,銀行業,プライム
8331,千葉銀行,銀行業,プライム
8354,ふくおかフィナンシャルグループ,銀行業,プライム
8355,静岡銀行,銀行業,プライム
8358,スルガ銀行,銀行業,スタンダード
8369,京都銀行,銀行業,プライム
8411,みずほフィナンシャルグループ,銀行業,プライム
8473,SBIホールディングス,証券・商品先物取引業,プライム
8591,オリックス,その他金融業,プライム
8601,大和証券グループ本社,証券・商品先物取引業,プライム
8604,野村ホールディングス,証券・商品先物取引業,プライム
8630,SOMPOホールディングス,保険業,プライム
8725,MS&ADインシュアランスグループホールディングス,保険業,プライム
8750,第一生命ホールディングス,保険業,プライム
8766,東京海上ホールディングス,保険業,プライム
8795,T&Dホールディングス,保険業,プライム
8801,三井不動産,不動産業,プライム
8802,菱地所,不動産業,プライム
8804,東京建物,不動産業,プライム
8830,住友不動産,不動産業,プライム
9001,東武鉄道,陸運業,プライム
9005,東急,陸運業,プライム
9007,小田急電鉄,陸運業,プライム
9008,京王電鉄,陸運業,プライム
9009,京成電鉄,陸運業,プライム
9020,東日本旅客鉄道,陸運業,プライム
9021,西日本旅客鉄道,陸運業,プライム
9022,東海旅客鉄道,陸運業,プライム
9064,ヤマトホールディングス,陸運業,プライム
9101,日本郵船,海運業,プライム
9104,商船三井,海運業,プライム
9107,川崎汽船,海運業,プライム
9201,日本航空,空運業,プライム
9202,ANAホールディングス,空運業,プライム
9301,三菱倉庫,倉庫・運輸関連業,プライム
9412,スカパーJSATホールディングス,情報・通信業,プライム
9432,日本電信電話,情報・通信業,プライム
9433,KDDI,情報・通信業,プライム
9434,ソフトバンク,情報・通信業,プライム
9501,東京電力ホールディングス,電気・ガス業,プライム
9502,中部電力,電気・ガス業,プライム
9503,関西電力,電気・ガス業,プライム
9504,中国電力,電気・ガス業,プライム
9531,東京ガス,電気・ガス業,プライム
9532,大阪ガス,電気・ガス業,プライム
9602,東宝,情報・通信業,プライム
9613,NTTデータグループ,情報・通信業,プライム
9697,カプコン,情報・通信業,プライム
9735,セコム,サービス業,プライム
9766,コナミグループ,情報・通信業,プライム
9983,ファーストリテイリング,小売業,プライム
9984,ソフトバンクグループ,情報・通信業,プライム
